Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
x0;newton_raphson_dup.cpp;30;4.09256911277771;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;6.661073923110962;1-8;Random bit-flip
h;newton_raphson.hpp;47;6.794761419296265;1-8;Random bit-flip
delta;newton_raphson.hpp;46;6.29648232460022;1-8;Random bit-flip
h;newton_raphson.hpp;36;6.777408599853516;1-8;Random bit-flip
f;newton_raphson.hpp;34;6.805356502532959;1-8;Random bit-flip
results1;newton_raphson_dup.cpp;43;1.29103684425354;1-8;Random bit-flip
f;newton_raphson.hpp;34;3.192732572555542;1-8;Random bit-flip
f;newton_raphson.hpp;34;3.395624876022339;1-8;Random bit-flip
f;newton_raphson.hpp;34;6.874824047088623;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;3.5906662940979004;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;6.988223552703857;1-8;Random bit-flip
results;newton_raphson_dup.cpp;28;3.6770055294036865;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;5.97407865524292;1-8;Random bit-flip
f;newton_raphson.hpp;34;6.0203471183776855;1-8;Random bit-flip
f;newton_raphson.hpp;34;3.984229803085327;1-8;Random bit-flip
f;newton_raphson.hpp;44;7.09850287437439;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;7.512342691421509;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;2.796217918395996;1-8;Random bit-flip
results1;newton_raphson_dup.cpp;43;4.1902008056640625;1-8;Random bit-flip
results2;newton_raphson_dup.cpp;45;1.8518056869506836;1-8;Random bit-flip
f;newton_raphson.hpp;44;5.918695688247681;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;8.40041732788086;1-8;Random bit-flip
f;newton_raphson.hpp;34;6.201107501983643;1-8;Random bit-flip
f;newton_raphson.hpp;34;6.794029474258423;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;3.468621015548706;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;7.11105489730835;1-8;Random bit-flip
f;newton_raphson.hpp;44;8.303872108459473;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;6.057896614074707;1-8;Random bit-flip
