Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
x0;newton_raphson_dup.cpp;30;4.646254539489746;1-8;Random bit-flip;1
size;newton_raphson_dup.cpp;67;15.476550340652466;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;2.785555124282837;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.428308248519897;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;7.765713214874268;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;2.6204538345336914;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;4.948665618896484;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;8.232130765914917;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;1.4606149196624756;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;3.091503620147705;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.457899570465088;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;3.9716060161590576;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;5.326884746551514;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;4.917109489440918;1-8;Random bit-flip;1
value;newton_raphson_dup.cpp;83;13.981890201568604;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;5.0542521476745605;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.959357500076294;1-8;Random bit-flip;1
this;newton_raphson_dup.cpp;0;13.330190896987915;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.303184747695923;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;5.777925491333008;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;1.5238683223724365;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;2.6423792839050293;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.557052135467529;1-8;Random bit-flip;1
A;newton_raphson_dup.cpp;15;6.702039003372192;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.307828187942505;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;7.522355318069458;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;2.1600539684295654;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.419849157333374;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.2223734855651855;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;4.6957526206970215;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;7.3622801303863525;1-8;Random bit-flip;1
results;newton_raphson_dup.cpp;28;8.011285066604614;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.9595015048980713;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;2.691343069076538;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;4.931201457977295;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;3.3999950885772705;1-8;Random bit-flip;1
i;newton_raphson_dup.cpp;68;14.250277519226074;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;5.584892988204956;1-8;Random bit-flip;1
PI;newton_raphson_dup.cpp;16;3.938072919845581;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;5.649860620498657;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;5.983021974563599;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;5.34924578666687;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;1.9634900093078613;1-8;Random bit-flip;1
value;newton_raphson_dup.cpp;83;13.8419668674469;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;1.1274199485778809;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.732133626937866;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.7090237140655518;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;7.45737886428833;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.8946585655212402;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;6.858725309371948;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.7075791358947754;1-8;Random bit-flip;1
sn;../sysdeps/ieee754/dbl-64/s_sin.c;221;4.864503860473633;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;1.6500060558319092;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;3.1160998344421387;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;3.334487199783325;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.713801383972168;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;2.4641528129577637;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.025796175003052;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;3.3540995121002197;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;5.536631345748901;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;4.878770351409912;1-8;Random bit-flip;1
value;newton_raphson_dup.cpp;83;13.818429470062256;1-8;Random bit-flip;1
